ip_address,school_name,hostname,phase2_match,asn,whois_org,is_hosting,whois_match,fcc_match,score,confidence
168.100.171.125,Highview School,gi-0-1.gw3.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.253,Highview School,gw1.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.254,Highview School,gw2.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
192.100.55.179,Howard B. Mattlin Middle School,acad179.adelphi.edu,partial_match,NA,NA,no,no,no,1,low
65.242.140.36,Howard T. Herber Middle School,host36.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.33,Howard T. Herber Middle School,gateway.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.40,Howard T. Herber Middle School,host40.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.35,Howard T. Herber Middle School,host35.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.39,Howard T. Herber Middle School,mail.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.38,Howard T. Herber Middle School,www.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.37,Howard T. Herber Middle School,ftp.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.34,Howard T. Herber Middle School,host34.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.45,Howard T. Herber Middle School,host45.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.42,Howard T. Herber Middle School,host42.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.44,Howard T. Herber Middle School,host44.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.46,Howard T. Herber Middle School,host46.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.41,Howard T. Herber Middle School,host41.howardpress.com,match,,,no,yes,yes,3,high
65.242.140.43,Howard T. Herber Middle School,host43.howardpress.com,match,,,no,yes,yes,3,high
74.254.87.10,Howard T. Herber Middle School,mail.berkeley.k12.sc.us,partial_match,,,no,yes,yes,3,high
74.254.87.126,Howard T. Herber Middle School,berkeley.k12.sc.us,partial_match,,,no,yes,yes,3,high
63.111.126.182,John F Hughes Elementary School,bakerhughes-gw.customer.alter.net,match,,,no,yes,yes,3,high
170.24.142.8,John G. Dinkelmeyer Elementary School,barracuda.msd.k12.ny.us,partial_match,,,no,yes,yes,3,high
65.254.5.2,John G. Dinkelmeyer Elementary School,bsraptor1.bvr.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.12,John G. Dinkelmeyer Elementary School,raptor.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.16,John G. Dinkelmeyer Elementary School,bay-ms-ts02.msmain.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.22,John G. Dinkelmeyer Elementary School,mailfilter.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.1,John G. Dinkelmeyer Elementary School,gw.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.5,John G. Dinkelmeyer Elementary School,bsfw2-1605.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.3,John G. Dinkelmeyer Elementary School,bs3640.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.4,John G. Dinkelmeyer Elementary School,1600-out.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.10,John G. Dinkelmeyer Elementary School,mail2.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.13,John G. Dinkelmeyer Elementary School,finance01.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.14,John G. Dinkelmeyer Elementary School,mis.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.8,John G. Dinkelmeyer Elementary School,www2.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.7,John G. Dinkelmeyer Elementary School,bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.9,John G. Dinkelmeyer Elementary School,mail1.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.11,John G. Dinkelmeyer Elementary School,mail.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.6,John G. Dinkelmeyer Elementary School,bssdfilter.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
