ip_address,school_name,hostname,phase2_match,asn,whois_org,is_hosting,whois_match,fcc_match,score,confidence,ripe_validated,ripe_validated
163.153.159.131,Flanders Elementary School,131.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.126,Flanders Elementary School,126.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.134,Flanders Elementary School,134.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.135,Flanders Elementary School,135.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.133,Flanders Elementary School,133.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.177,Flanders Elementary School,177.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.139,Flanders Elementary School,139.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.137,Flanders Elementary School,137.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.140,Flanders Elementary School,140.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.141,Flanders Elementary School,141.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.136,Flanders Elementary School,136.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.138,Flanders Elementary School,138.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.143,Flanders Elementary School,143.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.145,Flanders Elementary School,145.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.147,Flanders Elementary School,147.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.144,Flanders Elementary School,144.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.142,Flanders Elementary School,142.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
