cidr,school_name,reason
2a02:26f7:f6f4:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.104.248/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.228.168/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.178.216/30,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.239.112/29,Willow Field Elementary School,no_phase2_match_or_timed_out
75.117.123.128/27,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b381:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.247.212/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a09:bac2:a720::/45,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f2:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.70.80/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.140.96/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6c4:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2606:54c3:0:5e0::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.158.156/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.211.224/29,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.112.160/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6ee:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6ef:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.228.32/30,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.118.24/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.108.164/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.105.200/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.163.134/32,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.91.172/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d4:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.137.224/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.58.52.83/32,Willow Field Elementary School,no_phase2_match_or_timed_out
