school_name,total_ips,high,medium,low,best_score,best_ip,best_hostname
Emerson Elementary School,0,0,0,0,0,,
Linden High School,0,0,0,0,0,,
Miraj Islamic School,0,0,0,0,0,,
Yeshiva Torah Temimah,0,0,0,0,0,,
J.H.S. 223 The Montauk,0,0,0,0,0,,
DRS Yeshiva High School for Boys,0,0,0,0,0,,
Public School 115,0,0,0,0,0,,
Urban Assembly School For Criminal Justice,0,0,0,0,0,,
Hebrew High School,0,0,0,0,0,,
Winfield Township School,0,0,0,0,0,,
Intermediate School 68,0,0,0,0,0,,
School 1 Elementary,0,0,0,0,0,,
Lawrence Woodmere Academy,0,0,0,0,0,,
Port Richmond High School,0,0,0,0,0,,
Oceanside High School,0,0,0,0,0,,
Baldwin Schools Administrative Offices,0,0,0,0,0,,
Beth Jacob of Boro Park,0,0,0,0,0,,
Assumption School,0,0,0,0,0,,
Linden High School Academy Building,0,0,0,0,0,,
Gateway City Academy,0,0,0,0,0,,
Joseph E Soehl Middle School,0,0,0,0,0,,
Public School 18,0,0,0,0,0,,
High School of Telecommunications Arts and Technology,0,0,0,0,0,,
Xaverian High School,0,0,0,0,0,,
Public School 20,0,0,0,0,0,,
Public School 160,0,0,0,0,0,,
Saint Anthony's School,0,0,0,0,0,,
Stella K. Abraham High School for Girls,0,0,0,0,0,,
Public School 198,0,0,0,0,0,,
Mcmanus Middle School,0,0,0,0,0,,
Myles J McManus Elementary School,0,0,0,0,0,,
Warren Middle School,0,0,0,0,0,,
Valley View Middle School,0,0,0,0,0,,
Bonim Lamokom,0,0,0,0,0,,
Yeshiva Torah Vodaath,0,0,0,0,0,,
Reenas Bais Yaakov School,0,0,0,0,0,,
Waverly Park Elementary School,0,0,0,0,0,,
Torah Vodaath High School,0,0,0,0,0,,
Public School 62,0,0,0,0,0,,
Rhame Avenue Elementary School,0,0,0,0,0,,
Bnos Yakov of Pupa,0,0,0,0,0,,
Our Lady of Perpetual Help Catholic Academy,0,0,0,0,0,,
Westminster Preschool,0,0,0,0,0,,
P.S. 971K,0,0,0,0,0,,
St. Peter's Boys High School,0,0,0,0,0,,
William J McGinn Elementary School,0,0,0,0,0,,
George W. Hewlett High School,0,0,0,0,0,,
Franklin Early Childhood Center,0,0,0,0,0,,
Public School 179,0,0,0,0,0,,
Steele Elementary School,0,0,0,0,0,,
Canarsie High School,0,0,0,0,0,,
Success Academy East Flatbush Middle School,0,0,0,0,0,,
Public School 131,0,0,0,0,0,,
Childrens Specialized Hospital School,0,0,0,0,0,,
Public School 40,0,0,0,0,0,,
Flatbush Ascend Charter Middle School,0,0,0,0,0,,
P.S. 139 Alexine A. Fenty,0,0,0,0,0,,
School of the Little Flower,0,0,0,0,0,,
